threshold,accuracy,ok_accuracy,ng_recall,false_ok_rate,false_ng_rate,precision,recall,f1
0.1,0.4947,0.0,1.0,0.0,1.0,0.4947,1.0,0.662
0.15,0.4947,0.0,1.0,0.0,1.0,0.4947,1.0,0.662
0.2,0.4947,0.0,1.0,0.0,1.0,0.4947,1.0,0.662
0.25,0.4947,0.0,1.0,0.0,1.0,0.4947,1.0,0.662
0.3,0.4954,0.0012,1.0,0.0,0.9988,0.495,1.0,0.6623
0.35,0.4985,0.0073,1.0,0.0,0.9927,0.4966,1.0,0.6636
0.4,0.5158,0.0416,1.0,0.0,0.9584,0.5054,1.0,0.6714
0.45,0.5368,0.0832,1.0,0.0,0.9168,0.5165,1.0,0.6811
0.5,0.5584,0.1261,1.0,0.0,0.8739,0.5284,1.0,0.6914
0.55,0.5615,0.1322,1.0,0.0,0.8678,0.5302,1.0,0.6929
0.6,0.5659,0.1408,1.0,0.0,0.8592,0.5326,1.0,0.695
0.65,0.5646,0.1408,0.9975,0.0025,0.8592,0.532,0.9975,0.6939
0.7,0.5553,0.1469,0.9725,0.0275,0.8531,0.5275,0.9725,0.684
0.75,0.5195,0.5018,0.5375,0.4625,0.4982,0.5137,0.5375,0.5254
0.8,0.5065,0.9731,0.03,0.97,0.0269,0.5217,0.03,0.0567
0.85,0.5053,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.9,0.5053,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.95,0.5053,1.0,0.0,1.0,0.0,0.0,0.0,0.0
